year,mot_count,prop_count,mot_intensity,prop_intensity,mot_cumulative,prop_cumulative
2010,0,24,,0.004583333333333333,0,24
2011,1,16,24.1,0.0,1,40
2012,1,17,24.39,0.001764705882352941,2,57
2013,0,33,,0.0021212121212121214,2,90
2014,0,20,,0.0055,2,110
2015,0,30,,0.0016666666666666668,2,140
2016,0,26,,0.002307692307692308,2,166
2017,4,49,6.855,0.02693877551020408,6,215
2018,18,27,1.7444444444444445,0.04,24,242
2019,27,41,2.3792592592592596,0.051219512195121955,51,283
2020,48,30,1.6975,0.103,99,313
2021,54,50,1.2975925925925926,0.126,153,363
2022,32,37,1.876875,0.05945945945945946,185,400
2023,60,43,6.640666666666666,0.11372093023255815,245,443
2024,89,43,7.241348314606742,0.16813953488372094,334,486
2025,98,27,6.601632653061225,0.23814814814814814,432,513
