doc_id,doc_type,parl_year,title,context_count,positive_count,negative_count,context_length,sentiment_ratio
hd023729,mot,2025/26,Internationellt samarbete i en utmanande tid,7,0,0,1462,0.0
hd023645,mot,2025/26,"Utgiftsområde 9 Hälsovård, sjukvård och social omsorg",2,0,2,405,-4.926108374384237
hc02351,mot,2024/25,Pornografi och sexuell exploatering på nätet,2,0,2,405,-4.926108374384237
ha021483,mot,2022/23,Användning av moderna tester för prostatacancer,1,1,0,202,4.926108374384237
h5022531,mot,2017/18,Utgiftsområde 24 Näringsliv,1,0,0,223,0.0
hb022620,mot,2023/24,Utgiftsområde 14 Arbetsmarknad och arbetsliv,8,3,1,1623,1.2315270935960592
h8023136,mot,2020/21,Trygg och tillgänglig hälso- och sjukvård och äldreomsorg – en nationell reformagenda under och efter covid-19-pandemin,2,2,0,447,4.464285714285714
hd023735,mot,2025/26,"​​Utgiftsområde 18 Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik​",1,0,0,202,0.0
h8024032,mot,2020/21,med anledning av prop. 2020/21:100 2021 års ekonomiska vårproposition,1,1,0,223,4.464285714285714
hb02464,mot,2023/24,Förbud mot mördarrobotar,14,5,1,2883,1.3869625520110958
hd02450,mot,2025/26,Digitalisering i offentlig sektor,3,0,0,671,0.0
h9021592,mot,2021/22,"Insyn, algoritmer och AI",11,7,5,2274,0.8791208791208791
h9024040,mot,2021/22,Ökad trygghet och fler som arbetar – Moderaternas budgetmotion för 2022,2,4,0,447,8.928571428571429
hc021384,mot,2024/25,Konsumentpolitik,11,3,1,2232,0.8956560680698612
hb022892,mot,2023/24,med anledning av prop. 2023/24:100 2024 års ekonomiska vårproposition,1,0,0,202,0.0
hd023559,mot,2025/26,"Finansiell stabilitet, finansmarknadsfrågor och betalningssystemet",1,0,0,202,0.0
hd023540,mot,2025/26,Åtgärder mot vansinneskörningar,1,0,0,202,0.0
hd023190,mot,2025/26,Migration och integration,2,0,0,405,0.0
hd023557,mot,2025/26,Offentlig upphandling,5,0,0,1014,0.0
h8023205,mot,2020/21,Politik för handel och utveckling,1,0,0,223,0.0
hc023194,mot,2024/25,Offentlig upphandling,1,0,0,202,0.0
h8022953,mot,2020/21,En utvecklad sjukvård och omsorg i hela landet,2,2,0,418,4.773269689737471
hc023069,mot,2024/25,Jämställdhet och mäns våld mot kvinnor,1,0,1,202,-4.926108374384237
hd023647,mot,2025/26,"Utgiftsområde 18 Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",3,8,1,608,11.494252873563218
ha02514,mot,2022/23,Utvisning vid grovt blåljussabotage,1,0,0,202,0.0
h9023509,mot,2021/22,En starkare liberal demokrati,6,3,1,1259,1.5873015873015872
hd023623,mot,2025/26,Internationell samverkan,11,3,3,2274,0.0
gj02fi15,mot,1995/96,"med anledning av prop. 1995/96:25 En politik för arbete, trygghet och utveckling",1,1,0,223,4.464285714285714
hd022388,mot,2025/26,Förändringar i lagen om offentlig upphandling,2,0,2,405,-4.926108374384237
hd022777,mot,2025/26,En bättre hälso- och sjukvård,24,7,1,4892,1.226241569589209
hc023024,mot,2024/25,Utgiftsområde 16 Utbildning och universitetsforskning,11,7,5,2274,0.8791208791208791
hb022564,mot,2023/24,Försvar och samhällets krisberedskap,6,2,4,1259,-1.5873015873015872
h502901,mot,2017/18,Exponentiella teknologier,1,0,0,223,0.0
h9024723,mot,2021/22,med anledning av prop. 2021/22:100 2022 års ekonomiska vårproposition,4,2,1,874,1.142857142857143
h702382,mot,2019/20,Exponentiella teknologier,1,0,0,223,0.0
hb021337,mot,2023/24,Utredning för att förbättra Sveriges AI-kompetens,15,7,1,3032,1.9782393669634024
hb022634,mot,2023/24,Utgiftsområde 24 Näringsliv,1,0,0,202,0.0
gi02a28,mot,1994/95,med anledning av prop. 1994/95:158 Ny myndighetsorganisation inom arbetslivsområdet m.m.,1,0,0,202,0.0
h9024006,mot,2021/22,En högre utbildning med högre ambitioner,13,7,2,2722,1.8362100624311422
hc021236,mot,2024/25,Utökat nordiskt samarbete inom AI-fältet för ökad konkurrenskraft,21,10,3,4283,1.6339869281045751
h7021000,mot,2019/20,Digitalisering,2,0,0,396,0.0
h602163,mot,2018/19,Exponentiella teknologier,1,0,0,223,0.0
hd023405,mot,2025/26,Ökad civil försvarsförmåga och stärkt krisberedskap,14,2,8,2841,-2.11118930330753
h9023639,mot,2021/22,Cybersäkerhet och cyberförsvar,2,0,0,447,0.0
gj02t51,mot,1995/96,med anledning av prop. 1995/96:125 Åtgärder för att bredda och utveckla användningen av informationsteknik,1,1,0,223,4.464285714285714
h9023689,mot,2021/22,En tillväxtagenda för hela Sverige,3,3,0,608,4.926108374384237
hd023808,mot,2025/26,En hem-chatt-reform,30,12,0,6107,1.9646365422396854
hd023459,mot,2025/26,"Utgiftsområde 17 Kultur, medier, trossamfund och fritid",13,3,2,2638,0.378931413414172
hb02427,mot,2023/24,Immaterialrättsliga frågor i ett digitalt samhälle,1,1,0,223,4.464285714285714
hc023309,mot,2024/25,"med anledning av prop. 2024/25:60 Forskning och innovation för framtid, nyfikenhet och nytta",11,5,0,2358,2.11954217888936
h9023690,mot,2021/22,Regelförbättringar för landets företagare,1,0,0,202,0.0
hc022952,mot,2024/25,Digitalisering för hela Sverige,23,1,0,4710,0.21226915729144555
gd02ub642,mot,1989/90,Utbyggnad av högskolan i Skövde,2,0,0,426,0.0
h9023227,mot,2021/22,En hållbar digitalisering,8,1,0,1651,0.6053268765133172
hb021628,mot,2023/24,För ett tryggare Malmö och Sverige,1,2,0,202,9.852216748768473
hc02396,mot,2024/25,AI-utbildning inom grundskolan,17,9,3,3421,1.7533606078316775
hd023770,mot,2025/26,Sverige förtjänar bättre – Miljöpartiets budgetmotion för 2026,2,2,0,405,4.926108374384237
h7023024,mot,2019/20,Handel utvecklar världen,1,2,0,223,8.928571428571429
gf02ub453,mot,1991/92,Utbyggnad av högskolan i Skövde,1,0,0,223,0.0
h7022677,mot,2019/20,Fler företag och stärkt konkurrenskraft,3,1,0,650,1.5360983102918586
hc023026,mot,2024/25,Utgiftsområde 10 Ekonomisk trygghet vid sjukdom och funktionsnedsättning,8,6,1,1686,2.9638411381149967
h8023483,mot,2020/21,En långsiktig svensk konkurrenskraft,13,3,0,2659,1.1278195488721805
h9023223,mot,2021/22,Integration,2,0,0,405,0.0
h6022747,mot,2018/19,Förbud mot autonoma vapensystem,2,0,0,426,0.0
hb022455,mot,2023/24,Digitalisering för hela Sverige,7,1,0,1434,0.6968641114982579
h802409,mot,2020/21,För ett tryggare Malmö och Sverige,1,2,0,202,9.852216748768473
h8022776,mot,2020/21,Utgiftsområde 5 Internationell samverkan,1,0,0,223,0.0
hc022948,mot,2024/25,Arbetsmarknad,4,0,0,832,0.0
hd023593,mot,2025/26,Utgiftsområde 24 Näringsliv,10,2,0,2050,0.9751340809361286
ha021911,mot,2022/23,Stockholm – möjligheternas storstadsregion,3,0,0,608,0.0
hb022457,mot,2023/24,Livskraft och framtidstro i Sveriges landsbygder,1,0,0,202,0.0
hb022454,mot,2023/24,Utbildning och forskning – för en stark kunskapsnation,1,0,1,223,-4.464285714285714
h8023834,mot,2020/21,"med anledning av prop. 2020/21:60 Forskning, frihet, framtid - kunskap och innovation för Sverige",8,6,0,1686,3.5566093657379962
hd023551,mot,2025/26,Ny riktning för Sverige,3,1,0,608,1.6420361247947455
h7023315,mot,2019/20,Utgiftsområde 6 Försvar och samhällets krisberedskap,1,0,0,223,0.0
hb022689,mot,2023/24,Det gröna framtidsbygget,1,0,0,223,0.0
hb022685,mot,2023/24,Utgiftsområde 1 Rikets styrelse,4,2,0,832,2.4009603841536613
